State,County,Scenario,Value
Texas,Archer,Conservative,1
Colorado,Archuleta,Conservative,1
Michigan,Arenac,Conservative,1
Arkansas,Arkansas,Conservative,1
Virginia,Arlington,Conservative,1
Pennsylvania,Armstrong,Conservative,1
Texas,Armstrong,Conservative,1
Maine,Aroostook,Conservative,1
Nebraska,Arthur,Conservative,1
Louisiana,Ascension,Conservative,1
North Carolina,Ashe,Conservative,1
Ohio,Ashland,Conservative,1
Wisconsin,Ashland,Conservative,1
Arkansas,Ashley,Conservative,1
Ohio,Ashtabula,Conservative,1
Washington,Asotin,Conservative,1
Louisiana,Assumption,Conservative,1
Texas,Atascosa,Conservative,1
Kansas,Atchison,Conservative,1
Missouri,Atchison,Conservative,1
Ohio,Athens,Conservative,1
Georgia,Atkinson,Conservative,1
New Jersey,Atlantic,Conservative,1
Oklahoma,Atoka,Conservative,1
Mississippi,Attala,Conservative,1
Missouri,Audrain,Conservative,1
Iowa,Audubon,Conservative,1
Ohio,Auglaize,Conservative,1
Virginia,Augusta,Conservative,1
South Dakota,Aurora,Conservative,1
Texas,Austin,Conservative,1
Alabama,Autauga,Conservative,1
North Carolina,Avery,Conservative,1
Louisiana,Avoyelles,Conservative,1
Colorado,Baca,Conservative,1
Georgia,Bacon,Conservative,1
Texas,Bailey,Conservative,1
Florida,Baker,Conservative,1
Georgia,Baker,Conservative,1
Oregon,Baker,Conservative,1
Alabama,Baldwin,Conservative,1
Georgia,Baldwin,Conservative,1
Kentucky,Ballard,Conservative,1
Maryland,Baltimore,Conservative,1
South Carolina,Bamberg,Conservative,1
Texas,Bandera,Conservative,1
Georgia,Banks,Conservative,1
Nebraska,Banner,Conservative,1
Idaho,Bannock,Conservative,1
Michigan,Baraga,Conservative,1
Kansas,Barber,Conservative,1
Alabama,Barbour,Conservative,1
West Virginia,Barbour,Conservative,1
North Dakota,Barnes,Conservative,1
Massachusetts,Barnstable,Conservative,1
South Carolina,Barnwell,Conservative,1
Kentucky,Barren,Conservative,1
Wisconsin,Barron,Conservative,1
Georgia,Barrow,Conservative,1
Michigan,Barry,Conservative,1
Missouri,Barry,Conservative,1
Indiana,Bartholomew,Conservative,1
Kansas,Barton,Conservative,1
Missouri,Barton,Conservative,1
Georgia,Bartow,Conservative,1
Texas,Bastrop,Conservative,1
Missouri,Bates,Conservative,1
Kentucky,Bath,Conservative,1
Virginia,Bath,Conservative,1
Arkansas,Baxter,Conservative,1
Florida,Bay,Conservative,1
Michigan,Bay,Conservative,1
Wisconsin,Bayfield,Conservative,1
Texas,Baylor,Conservative,1
South Dakota,Beadle,Conservative,1
Idaho,Bear Lake,Conservative,1
North Carolina,Beaufort,Conservative,1
South Carolina,Beaufort,Conservative,1
Louisiana,Beauregard,Conservative,1
Oklahoma,Beaver,Conservative,1
Pennsylvania,Beaver,Conservative,1
Utah,Beaver,Conservative,1
Montana,Beaverhead,Conservative,1
Minnesota,Becker,Conservative,1
Oklahoma,Beckham,Conservative,1
Pennsylvania,Bedford,Conservative,1
Tennessee,Bedford,Conservative,1
Virginia,Bedford,Conservative,1
Texas,Bee,Conservative,1
New Hampshire,Belknap,Conservative,1
Kentucky,Bell,Conservative,1
Texas,Bell,Conservative,1
Ohio,Belmont,Conservative,1
Minnesota,Beltrami,Conservative,1
Georgia,Ben Hill,Conservative,1
Idaho,Benewah,Conservative,1
South Dakota,Bennett,Conservative,1
Vermont,Bennington,Conservative,1
North Dakota,Benson,Conservative,1
Colorado,Bent,Conservative,1
Arkansas,Benton,Conservative,1
Iowa,Benton,Conservative,1
Indiana,Benton,Conservative,1
Minnesota,Benton,Conservative,1
Missouri,Benton,Conservative,1
Mississippi,Benton,Conservative,1
Oregon,Benton,Conservative,1
Tennessee,Benton,Conservative,1
Washington,Benton,Conservative,1
Michigan,Benzie,Conservative,1
New Jersey,Bergen,Conservative,1
South Carolina,Berkeley,Conservative,1
West Virginia,Berkeley,Conservative,1
Pennsylvania,Berks,Conservative,1
Massachusetts,Berkshire,Conservative,1
New Mexico,Bernalillo,Conservative,1
Georgia,Berrien,Conservative,1
Michigan,Berrien,Conservative,1
North Carolina,Bertie,Conservative,1
Texas,Bexar,Conservative,1
Alabama,Bibb,Conservative,1
Georgia,Bibb,Conservative,1
Louisiana,Bienville,Conservative,1
Montana,Big Horn,Conservative,1
Wyoming,Big Horn,Conservative,1
Minnesota,Big Stone,Conservative,1
North Dakota,Billings,Conservative,1
Idaho,Bingham,Conservative,1
Iowa,Black Hawk,Conservative,1
Indiana,Blackford,Conservative,1
North Carolina,Bladen,Conservative,1
Idaho,Blaine,Conservative,1
Montana,Blaine,Conservative,1
Nebraska,Blaine,Conservative,1
Oklahoma,Blaine,Conservative,1
Pennsylvania,Blair,Conservative,1
Texas,Blanco,Conservative,1
Virginia,Bland,Conservative,1
Georgia,Bleckley,Conservative,1
Tennessee,Bledsoe,Conservative,1
Alabama,Blount,Conservative,1
Tennessee,Blount,Conservative,1
Minnesota,Blue Earth,Conservative,1
Idaho,Boise,Conservative,1
Mississippi,Bolivar,Conservative,1
Missouri,Bollinger,Conservative,1
South Dakota,Bon Homme,Conservative,1
Illinois,Bond,Conservative,1
Idaho,Bonner,Conservative,1
Idaho,Bonneville,Conservative,1
Arkansas,Boone,Conservative,1
Iowa,Boone,Conservative,1
Illinois,Boone,Conservative,1
Indiana,Boone,Conservative,1
Kentucky,Boone,Conservative,1
Missouri,Boone,Conservative,1
Nebraska,Boone,Conservative,1
West Virginia,Boone,Conservative,1
Texas,Borden,Conservative,1
Texas,Bosque,Conservative,1
Louisiana,Bossier,Conservative,1
Virginia,Botetourt,Conservative,1
North Dakota,Bottineau,Conservative,1
Colorado,Boulder,Conservative,1
Idaho,Boundary,Conservative,1
Kansas,Bourbon,Conservative,1
Kentucky,Bourbon,Conservative,1
Texas,Bowie,Conservative,1
North Dakota,Bowman,Conservative,1
Nebraska,Box Butte,Conservative,1
Utah,Box Elder,Conservative,1
Kentucky,Boyd,Conservative,1
Nebraska,Boyd,Conservative,1
Kentucky,Boyle,Conservative,1
Kentucky,Bracken,Conservative,1
Florida,Bradford,Conservative,1
Pennsylvania,Bradford,Conservative,1
Arkansas,Bradley,Conservative,1
Tennessee,Bradley,Conservative,1
Michigan,Branch,Conservative,1
Georgia,Brantley,Conservative,1
West Virginia,Braxton,Conservative,1
Texas,Brazoria,Conservative,1
Texas,Brazos,Conservative,1
Kentucky,Breathitt,Conservative,1
Kentucky,Breckinridge,Conservative,1
Iowa,Bremer,Conservative,1
Florida,Brevard,Conservative,1
Texas,Brewster,Conservative,1
Texas,Briscoe,Conservative,1
Massachusetts,Bristol,Conservative,1
Rhode Island,Bristol,Conservative,1
Montana,Broadwater,Conservative,1
New York,Bronx,Conservative,1
West Virginia,Brooke,Conservative,1
South Dakota,Brookings,Conservative,1
Georgia,Brooks,Conservative,1
Texas,Brooks,Conservative,1
New York,Broome,Conservative,1
Florida,Broward,Conservative,1
Illinois,Brown,Conservative,1
Indiana,Brown,Conservative,1
Kansas,Brown,Conservative,1
Minnesota,Brown,Conservative,1
Nebraska,Brown,Conservative,1
Ohio,Brown,Conservative,1
South Dakota,Brown,Conservative,1
Texas,Brown,Conservative,1
Wisconsin,Brown,Conservative,1
South Dakota,Brule,Conservative,1
North Carolina,Brunswick,Conservative,1
Virginia,Brunswick,Conservative,1
Georgia,Bryan,Conservative,1
Oklahoma,Bryan,Conservative,1
Iowa,Buchanan,Conservative,1
Missouri,Buchanan,Conservative,1
Virginia,Buchanan,Conservative,1
Virginia,Buckingham,Conservative,1
Pennsylvania,Bucks,Conservative,1
Iowa,Buena Vista,Conservative,1
Nebraska,Buffalo,Conservative,1
South Dakota,Buffalo,Conservative,1
Wisconsin,Buffalo,Conservative,1
Kentucky,Bullitt,Conservative,1
Georgia,Bulloch,Conservative,1
Alabama,Bullock,Conservative,1
North Carolina,Buncombe,Conservative,1
Illinois,Bureau,Conservative,1
Georgia,Burke,Conservative,1
North Carolina,Burke,Conservative,1
North Dakota,Burke,Conservative,1
North Dakota,Burleigh,Conservative,1
Texas,Burleson,Conservative,1
New Jersey,Burlington,Conservative,1
Texas,Burnet,Conservative,1
Wisconsin,Burnett,Conservative,1
Nebraska,Burt,Conservative,1
Alabama,Butler,Conservative,1
Iowa,Butler,Conservative,1
Kansas,Butler,Conservative,1
Kentucky,Butler,Conservative,1
Missouri,Butler,Conservative,1
Nebraska,Butler,Conservative,1
Ohio,Butler,Conservative,1
Pennsylvania,Butler,Conservative,1
California,Butte,Conservative,1
Idaho,Butte,Conservative,1
South Dakota,Butte,Conservative,1
Georgia,Butts,Conservative,1
North Carolina,Cabarrus,Conservative,1
West Virginia,Cabell,Conservative,1
Utah,Cache,Conservative,1
Louisiana,Caddo,Conservative,1
Oklahoma,Caddo,Conservative,1
California,Calaveras,Conservative,1
Louisiana,Calcasieu,Conservative,1
Kentucky,Caldwell,Conservative,1
Louisiana,Caldwell,Conservative,1
Missouri,Caldwell,Conservative,1
North Carolina,Caldwell,Conservative,1
Texas,Caldwell,Conservative,1
Vermont,Caledonia,Conservative,1
Alabama,Calhoun,Conservative,1
Arkansas,Calhoun,Conservative,1
Florida,Calhoun,Conservative,1
Georgia,Calhoun,Conservative,1
Iowa,Calhoun,Conservative,1
Illinois,Calhoun,Conservative,1
Michigan,Calhoun,Conservative,1
Mississippi,Calhoun,Conservative,1
South Carolina,Calhoun,Conservative,1
Texas,Calhoun,Conservative,1
West Virginia,Calhoun,Conservative,1
Texas,Callahan,Conservative,1
Missouri,Callaway,Conservative,1
Kentucky,Calloway,Conservative,1
Wisconsin,Calumet,Conservative,1
Maryland,Calvert,Conservative,1
Idaho,Camas,Conservative,1
Pennsylvania,Cambria,Conservative,1
Georgia,Camden,Conservative,1
Missouri,Camden,Conservative,1
North Carolina,Camden,Conservative,1
New Jersey,Camden,Conservative,1
Louisiana,Cameron,Conservative,1
Pennsylvania,Cameron,Conservative,1
Texas,Cameron,Conservative,1
Texas,Camp,Conservative,1
Kentucky,Campbell,Conservative,1
South Dakota,Campbell,Conservative,1
Tennessee,Campbell,Conservative,1
Virginia,Campbell,Conservative,1
Wyoming,Campbell,Conservative,1
Oklahoma,Canadian,Conservative,1
Georgia,Candler,Conservative,1
Tennessee,Cannon,Conservative,1
Idaho,Canyon,Conservative,1
Missouri,Cape Girardeau,Conservative,1
New Jersey,Cape May,Conservative,1
Montana,Carbon,Conservative,1
Pennsylvania,Carbon,Conservative,1
Utah,Carbon,Conservative,1
Wyoming,Carbon,Conservative,1
Idaho,Caribou,Conservative,1
Kentucky,Carlisle,Conservative,1
Minnesota,Carlton,Conservative,1
Maryland,Caroline,Conservative,1
Virginia,Caroline,Conservative,1
Arkansas,Carroll,Conservative,1
Georgia,Carroll,Conservative,1
Iowa,Carroll,Conservative,1
Illinois,Carroll,Conservative,1
Indiana,Carroll,Conservative,1
Kentucky,Carroll,Conservative,1
Maryland,Carroll,Conservative,1
Missouri,Carroll,Conservative,1
Mississippi,Carroll,Conservative,1
New Hampshire,Carroll,Conservative,1
Ohio,Carroll,Conservative,1
Tennessee,Carroll,Conservative,1
Virginia,Carroll,Conservative,1
Nevada,Carson City,Conservative,1
Texas,Carson,Conservative,1
Kentucky,Carter,Conservative,1
Missouri,Carter,Conservative,1
Montana,Carter,Conservative,1
Oklahoma,Carter,Conservative,1
Tennessee,Carter,Conservative,1
North Carolina,Carteret,Conservative,1
Minnesota,Carver,Conservative,1
Montana,Cascade,Conservative,1
Kentucky,Casey,Conservative,1
Iowa,Cass,Conservative,1
Illinois,Cass,Conservative,1
Indiana,Cass,Conservative,1
Michigan,Cass,Conservative,1
Minnesota,Cass,Conservative,1
Missouri,Cass,Conservative,1
North Dakota,Cass,Conservative,1
Nebraska,Cass,Conservative,1
Texas,Cass,Conservative,1
Idaho,Cassia,Conservative,1
Texas,Castro,Conservative,1
North Carolina,Caswell,Conservative,1
Louisiana,Catahoula,Conservative,1
North Carolina,Catawba,Conservative,1
Georgia,Catoosa,Conservative,1
New Mexico,Catron,Conservative,1
New York,Cattaraugus,Conservative,1
North Dakota,Cavalier,Conservative,1
New York,Cayuga,Conservative,1
Maryland,Cecil,Conservative,1
Iowa,Cedar,Conservative,1
Missouri,Cedar,Conservative,1
Nebraska,Cedar,Conservative,1
Pennsylvania,Centre,Conservative,1
Iowa,Cerro Gordo,Conservative,1
Colorado,Chaffee,Conservative,1
Alabama,Chambers,Conservative,1
Texas,Chambers,Conservative,1
Illinois,Champaign,Conservative,1
Ohio,Champaign,Conservative,1
Missouri,Chariton,Conservative,1
Virginia,Charles City,Conservative,1
Maryland,Charles,Conservative,1
South Dakota,Charles Mix,Conservative,1
South Carolina,Charleston,Conservative,1
Michigan,Charlevoix,Conservative,1
Florida,Charlotte,Conservative,1
Virginia,Charlotte,Conservative,1
Georgia,Charlton,Conservative,1
Kansas,Chase,Conservative,1
Nebraska,Chase,Conservative,1
Georgia,Chatham,Conservative,1
North Carolina,Chatham,Conservative,1
Georgia,Chattahoochee,Conservative,1
Georgia,Chattooga,Conservative,1
Kansas,Chautauqua,Conservative,1
New York,Chautauqua,Conservative,1
New Mexico,Chaves,Conservative,1
Tennessee,Cheatham,Conservative,1
Michigan,Cheboygan,Conservative,1
Washington,Chelan,Conservative,1
New York,Chemung,Conservative,1
New York,Chenango,Conservative,1
Alabama,Cherokee,Conservative,1
Georgia,Cherokee,Conservative,1
Iowa,Cherokee,Conservative,1
Kansas,Cherokee,Conservative,1
North Carolina,Cherokee,Conservative,1
Oklahoma,Cherokee,Conservative,1
South Carolina,Cherokee,Conservative,1
Texas,Cherokee,Conservative,1
Nebraska,Cherry,Conservative,1
Virginia,Chesapeake City,Conservative,1
New Hampshire,Cheshire,Conservative,1
Pennsylvania,Chester,Conservative,1
South Carolina,Chester,Conservative,1
Tennessee,Chester,Conservative,1
South Carolina,Chesterfield,Conservative,1
Virginia,Chesterfield,Conservative,1
Colorado,Cheyenne,Conservative,1
Kansas,Cheyenne,Conservative,1
Nebraska,Cheyenne,Conservative,1
Iowa,Chickasaw,Conservative,1
Mississippi,Chickasaw,Conservative,1
Arkansas,Chicot,Conservative,1
Texas,Childress,Conservative,1
Alabama,Chilton,Conservative,1
Michigan,Chippewa,Conservative,1
Minnesota,Chippewa,Conservative,1
Wisconsin,Chippewa,Conservative,1
Minnesota,Chisago,Conservative,1
Vermont,Chittenden,Conservative,1
Alabama,Choctaw,Conservative,1
Mississippi,Choctaw,Conservative,1
Oklahoma,Choctaw,Conservative,1
Montana,Chouteau,Conservative,1
North Carolina,Chowan,Conservative,1
Illinois,Christian,Conservative,1
Kentucky,Christian,Conservative,1
Missouri,Christian,Conservative,1
Nevada,Churchill,Conservative,1
New Mexico,Cibola,Conservative,1
Oklahoma,Cimarron,Conservative,1
Florida,Citrus,Conservative,1
Oregon,Clackamas,Conservative,1
Louisiana,Claiborne,Conservative,1
Mississippi,Claiborne,Conservative,1
Tennessee,Claiborne,Conservative,1
Washington,Clallam,Conservative,1
Michigan,Clare,Conservative,1
South Carolina,Clarendon,Conservative,1
Pennsylvania,Clarion,Conservative,1
Arkansas,Clark,Conservative,1
Idaho,Clark,Conservative,1
Illinois,Clark,Conservative,1
Indiana,Clark,Conservative,1
Kansas,Clark,Conservative,1
Kentucky,Clark,Conservative,1
Missouri,Clark,Conservative,1
Nevada,Clark,Conservative,1
Ohio,Clark,Conservative,1
South Dakota,Clark,Conservative,1
Washington,Clark,Conservative,1
Wisconsin,Clark,Conservative,1
Alabama,Clarke,Conservative,1
Georgia,Clarke,Conservative,1
Iowa,Clarke,Conservative,1
Mississippi,Clarke,Conservative,1
Virginia,Clarke,Conservative,1
Oregon,Clatsop,Conservative,1
Alabama,Clay,Conservative,1
Arkansas,Clay,Conservative,1
Florida,Clay,Conservative,1
Georgia,Clay,Conservative,1
Iowa,Clay,Conservative,1
Illinois,Clay,Conservative,1
Indiana,Clay,Conservative,1
Kansas,Clay,Conservative,1
Kentucky,Clay,Conservative,1
Minnesota,Clay,Conservative,1
Missouri,Clay,Conservative,1
Mississippi,Clay,Conservative,1
North Carolina,Clay,Conservative,1
Nebraska,Clay,Conservative,1
South Dakota,Clay,Conservative,1
Tennessee,Clay,Conservative,1
Texas,Clay,Conservative,1
West Virginia,Clay,Conservative,1
Georgia,Clayton,Conservative,1
Iowa,Clayton,Conservative,1
Colorado,Clear Creek,Conservative,1
Pennsylvania,Clearfield,Conservative,1
Idaho,Clearwater,Conservative,1
Minnesota,Clearwater,Conservative,1
Alabama,Cleburne,Conservative,1
Arkansas,Cleburne,Conservative,1
Ohio,Clermont,Conservative,1
Arkansas,Cleveland,Conservative,1
North Carolina,Cleveland,Conservative,1
Oklahoma,Cleveland,Conservative,1
Georgia,Clinch,Conservative,1
Iowa,Clinton,Conservative,1
Illinois,Clinton,Conservative,1
Indiana,Clinton,Conservative,1
Kentucky,Clinton,Conservative,1
Michigan,Clinton,Conservative,1
Missouri,Clinton,Conservative,1
New York,Clinton,Conservative,1
Ohio,Clinton,Conservative,1
Pennsylvania,Clinton,Conservative,1
Kansas,Cloud,Conservative,1
Mississippi,Coahoma,Conservative,1
Oklahoma,Coal,Conservative,1
Georgia,Cobb,Conservative,1
Arizona,Cochise,Conservative,1
Texas,Cochran,Conservative,1
Tennessee,Cocke,Conservative,1
Arizona,Coconino,Conservative,1
South Dakota,Codington,Conservative,1
Alabama,Coffee,Conservative,1
Georgia,Coffee,Conservative,1
Tennessee,Coffee,Conservative,1
Kansas,Coffey,Conservative,1
Texas,Coke,Conservative,1
Alabama,Colbert,Conservative,1
Missouri,Cole,Conservative,1
Texas,Coleman,Conservative,1
Illinois,Coles,Conservative,1
Nebraska,Colfax,Conservative,1
New Mexico,Colfax,Conservative,1
South Carolina,Colleton,Conservative,1
Florida,Collier,Conservative,1
Texas,Collin,Conservative,1
Texas,Collingsworth,Conservative,1
Texas,Colorado,Conservative,1
Georgia,Colquitt,Conservative,1
Arkansas,Columbia,Conservative,1
Florida,Columbia,Conservative,1
Georgia,Columbia,Conservative,1
New York,Columbia,Conservative,1
Oregon,Columbia,Conservative,1
Pennsylvania,Columbia,Conservative,1
Washington,Columbia,Conservative,1
Wisconsin,Columbia,Conservative,1
Ohio,Columbiana,Conservative,1
North Carolina,Columbus,Conservative,1
California,Colusa,Conservative,1
Texas,Comal,Conservative,1
Kansas,Comanche,Conservative,1
Oklahoma,Comanche,Conservative,1
Texas,Comanche,Conservative,1
Texas,Concho,Conservative,1
Louisiana,Concordia,Conservative,1
Alabama,Conecuh,Conservative,1
Colorado,Conejos,Conservative,1
California,Contra Costa,Conservative,1
Wyoming,Converse,Conservative,1
Arkansas,Conway,Conservative,1
Georgia,Cook,Conservative,1
Illinois,Cook,Conservative,1
Minnesota,Cook,Conservative,1
Texas,Cooke,Conservative,1
Missouri,Cooper,Conservative,1
New Hampshire,Coos,Conservative,1
Oregon,Coos,Conservative,1
Alabama,Coosa,Conservative,1
Mississippi,Copiah,Conservative,1
South Dakota,Corson,Conservative,1
New York,Cortland,Conservative,1
Texas,Coryell,Conservative,1
Ohio,Coshocton,Conservative,1
Colorado,Costilla,Conservative,1
Texas,Cottle,Conservative,1
Oklahoma,Cotton,Conservative,1
Minnesota,Cottonwood,Conservative,1
Alabama,Covington,Conservative,1
Mississippi,Covington,Conservative,1
Georgia,Coweta,Conservative,1
Kansas,Cowley,Conservative,1
Washington,Cowlitz,Conservative,1
Oklahoma,Craig,Conservative,1
Virginia,Craig,Conservative,1
Arkansas,Craighead,Conservative,1
Texas,Crane,Conservative,1
North Carolina,Craven,Conservative,1
Arkansas,Crawford,Conservative,1
Georgia,Crawford,Conservative,1
Iowa,Crawford,Conservative,1
Illinois,Crawford,Conservative,1
Indiana,Crawford,Conservative,1
Kansas,Crawford,Conservative,1
Michigan,Crawford,Conservative,1
Missouri,Crawford,Conservative,1
Ohio,Crawford,Conservative,1
Pennsylvania,Crawford,Conservative,1
Wisconsin,Crawford,Conservative,1
Oklahoma,Creek,Conservative,1
Alabama,Crenshaw,Conservative,1
Georgia,Crisp,Conservative,1
Arkansas,Crittenden,Conservative,1
Kentucky,Crittenden,Conservative,1
Tennessee,Crockett,Conservative,1
Texas,Crockett,Conservative,1
Oregon,Crook,Conservative,1
Wyoming,Crook,Conservative,1
Texas,Crosby,Conservative,1
Arkansas,Cross,Conservative,1
Minnesota,Crow Wing,Conservative,1
Colorado,Crowley,Conservative,1
Texas,Culberson,Conservative,1
Alabama,Cullman,Conservative,1
Virginia,Culpeper,Conservative,1
Illinois,Cumberland,Conservative,1
Kentucky,Cumberland,Conservative,1
Maine,Cumberland,Conservative,1
North Carolina,Cumberland,Conservative,1
New Jersey,Cumberland,Conservative,1
Pennsylvania,Cumberland,Conservative,1
Tennessee,Cumberland,Conservative,1
Virginia,Cumberland,Conservative,1
Nebraska,Cuming,Conservative,1
North Carolina,Currituck,Conservative,1
New Mexico,Curry,Conservative,1
Oregon,Curry,Conservative,1
Colorado,Custer,Conservative,1
Idaho,Custer,Conservative,1
Montana,Custer,Conservative,1
Nebraska,Custer,Conservative,1
Oklahoma,Custer,Conservative,1
South Dakota,Custer,Conservative,1
Ohio,Cuyahoga,Conservative,1
Georgia,Dade,Conservative,1
Missouri,Dade,Conservative,1
Utah,Daggett,Conservative,1
Minnesota,Dakota,Conservative,1
Nebraska,Dakota,Conservative,1
Alabama,Dale,Conservative,1
Texas,Dallam,Conservative,1
Alabama,Dallas,Conservative,1
Arkansas,Dallas,Conservative,1
Iowa,Dallas,Conservative,1
Missouri,Dallas,Conservative,1
Texas,Dallas,Conservative,1
Wisconsin,Dane,Conservative,1
Montana,Daniels,Conservative,1
North Carolina,Dare,Conservative,1
Ohio,Darke,Conservative,1
South Carolina,Darlington,Conservative,1
Pennsylvania,Dauphin,Conservative,1
North Carolina,Davidson,Conservative,1
Tennessee,Davidson,Conservative,1
North Carolina,Davie,Conservative,1
Indiana,Daviess,Conservative,1
Kentucky,Daviess,Conservative,1
Missouri,Daviess,Conservative,1
Iowa,Davis,Conservative,1
Utah,Davis,Conservative,1
South Dakota,Davison,Conservative,1
Nebraska,Dawes,Conservative,1
Georgia,Dawson,Conservative,1
Montana,Dawson,Conservative,1
Nebraska,Dawson,Conservative,1
Texas,Dawson,Conservative,1
South Dakota,Day,Conservative,1
New Mexico,De Baca,Conservative,1
Alabama,De Kalb,Conservative,1
Georgia,De Kalb,Conservative,1
Illinois,De Kalb,Conservative,1
Indiana,De Kalb,Conservative,1
Florida,De Soto,Conservative,1
Louisiana,De Soto,Conservative,1
Mississippi,De Soto,Conservative,1
Texas,De Witt,Conservative,1
Texas,Deaf Smith,Conservative,1
Indiana,Dearborn,Conservative,1
Georgia,Decatur,Conservative,1
Iowa,Decatur,Conservative,1
Indiana,Decatur,Conservative,1
Kansas,Decatur,Conservative,1
Tennessee,Decatur,Conservative,1
Montana,Deer Lodge,Conservative,1
Ohio,Defiance,Conservative,1
California,Del Norte,Conservative,1
Iowa,Delaware,Conservative,1
Indiana,Delaware,Conservative,1
New York,Delaware,Conservative,1
Ohio,Delaware,Conservative,1
Oklahoma,Delaware,Conservative,1
Pennsylvania,Delaware,Conservative,1
Colorado,Delta,Conservative,1
Michigan,Delta,Conservative,1
Texas,Delta,Conservative,1
Missouri,Dent,Conservative,1
Texas,Denton,Conservative,1
Colorado,Denver,Conservative,1
Iowa,Des Moines,Conservative,1
Oregon,Deschutes,Conservative,1
Arkansas,Desha,Conservative,1
Nebraska,Deuel,Conservative,1
South Dakota,Deuel,Conservative,1
Oklahoma,Dewey,Conservative,1
South Dakota,Dewey,Conservative,1
Texas,Dickens,Conservative,1
Virginia,Dickenson,Conservative,1
North Dakota,Dickey,Conservative,1
Iowa,Dickinson,Conservative,1
Kansas,Dickinson,Conservative,1
Michigan,Dickinson,Conservative,1
Tennessee,Dickson,Conservative,1
South Carolina,Dillon,Conservative,1
Texas,Dimmit,Conservative,1
Virginia,Dinwiddie,Conservative,1
North Dakota,Divide,Conservative,1
Florida,Dixie,Conservative,1
Nebraska,Dixon,Conservative,1
West Virginia,Doddridge,Conservative,1
Georgia,Dodge,Conservative,1
Minnesota,Dodge,Conservative,1
Nebraska,Dodge,Conservative,1
Wisconsin,Dodge,Conservative,1
Colorado,Dolores,Conservative,1
New Mexico,Dona Ana,Conservative,1
Kansas,Doniphan,Conservative,1
Texas,Donley,Conservative,1
Georgia,Dooly,Conservative,1
Wisconsin,Door,Conservative,1
Maryland,Dorchester,Conservative,1
South Carolina,Dorchester,Conservative,1
Georgia,Dougherty,Conservative,1
Colorado,Douglas,Conservative,1
Georgia,Douglas,Conservative,1
Illinois,Douglas,Conservative,1
Kansas,Douglas,Conservative,1
Minnesota,Douglas,Conservative,1
Missouri,Douglas,Conservative,1
Nebraska,Douglas,Conservative,1
Nevada,Douglas,Conservative,1
Oregon,Douglas,Conservative,1
South Dakota,Douglas,Conservative,1
Washington,Douglas,Conservative,1
Wisconsin,Douglas,Conservative,1
Arkansas,Drew,Conservative,1
Illinois,Du Page,Conservative,1
Indiana,Dubois,Conservative,1
Iowa,Dubuque,Conservative,1
Utah,Duchesne,Conservative,1
Massachusetts,Dukes,Conservative,1
